# The GWTC (Gravitational Wave Transient Catalog) is a cumulative set of gravitational wave transients maintained by the LIGO/Virgo/KAGRA collaboration.
# Taken from https://www.gw-openscience.org/eventapi/html/GWTC/ at 09/11/2021
# Includes data from GWTC-1, GWTC-2, GWTC-2.1 and GWTC-3

id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190421_213856-v1,GW190421_213856,1,GWTC-2,1239917954.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190421_213856/v1,41.3,-6.9,10.4,31.9,-8.8,8.0,10.55069569549375,,,2880.0,-1380.0,1370.0,-0.06,-0.27,0.22,72.9,-9.2,13.4,31.2,-4.2,5.9,46.6,-6.0,6.6,0.49,-0.21,0.19,0.0007738314255311893,,,69.7,-8.7,12.5
GW190424_180648-v1,GW190424_180648,1,GWTC-2,1240164426.1,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190424_180648/v1,40.5,-7.3,11.1,31.8,-7.7,7.6,10.0939769744873,,,2200.0,-1160.0,1580.0,0.13,-0.22,0.22,72.6,-10.7,13.3,31.0,-4.6,5.8,43.4,-4.8,6.0,0.39,-0.19,0.23,9.038785546924121,,,68.9,-10.1,12.4
GW190425-v2,GW190425,2,GWTC-2,1240215503.0,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190425/v2,2.0,-0.3,0.6,1.4,-0.3,0.3,13.02922972476558,,,160.0,-70.0,70.0,0.06,-0.05,0.11,3.4,-0.1,0.3,1.44,-0.02,0.02,1.49,-0.0006,0.0008,0.03,-0.02,0.01,0.000751854698112682,,,,,
GW190426_152155-v1,GW190426_152155,1,GWTC-2,1240327333.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190426_152155/v1,5.7,-2.3,3.9,1.5,-0.5,0.8,10.12041364677255,,,370.0,-160.0,180.0,-0.03,-0.3,0.32,7.2,-1.5,3.5,2.41,-0.08,0.08,2.6,-0.01,0.01,0.08,-0.03,0.04,1.443741335492165,,,,,
GW190426_190642-v1,GW190426_190642,1,GWTC-2.1-confident,1240340820.6,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190426_190642/v1,106.9,-25.2,41.6,76.6,-33.6,26.2,9.572,,,4350.0,-2150.0,3350.0,0.19,-0.4,0.43,184.4,-36.6,41.7,77.1,-17.1,19.4,,,,0.7,-0.3,0.41,4.1,,,175.0,-34.3,39.4
GW190503_185404-v1,GW190503_185404,1,GWTC-2,1240944862.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190503_185404/v1,43.3,-8.1,9.2,28.4,-8.0,7.7,12.09959960690361,,,1450.0,-630.0,690.0,-0.03,-0.26,0.2,71.7,-8.3,9.4,30.2,-4.2,4.2,38.6,-6.0,5.3,0.27,-0.11,0.11,1e-05,,,68.6,-7.7,8.8
GW190512_180714-v1,GW190512_180714,1,GWTC-2,1241719652.4,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190512_180714/v1,23.3,-5.8,5.3,12.6,-2.5,3.6,12.26449406234808,,,1430.0,-550.0,550.0,0.03,-0.13,0.12,35.9,-3.5,3.8,14.6,-1.0,1.3,18.6,-0.8,0.9,0.27,-0.1,0.09,1e-05,,,34.5,-3.5,3.8
GW190513_205428-v1,GW190513_205428,1,GWTC-2,1241816086.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190513_205428/v1,35.7,-9.2,9.5,18.0,-4.1,7.7,12.28987773592599,,,2060.0,-800.0,880.0,0.11,-0.17,0.28,53.9,-5.9,8.6,21.6,-1.9,3.8,29.5,-2.5,5.6,0.37,-0.13,0.13,1e-05,,,51.6,-5.8,8.2
GW190514_065416-v1,GW190514_065416,1,GWTC-2,1241852074.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190514_065416/v1,39.0,-8.2,14.7,28.4,-8.8,9.3,8.304493549646196,,,4130.0,-2170.0,2650.0,-0.19,-0.32,0.29,67.2,-10.8,18.7,28.5,-4.8,7.9,48.1,-7.7,7.5,0.67,-0.31,0.33,0.5266876793595081,,,64.5,-10.4,17.9
GW190517_055101-v1,GW190517_055101,1,GWTC-2,1242107479.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190517_055101/v1,37.4,-7.6,11.7,25.3,-7.3,7.0,10.24122163775042,,,1860.0,-840.0,1620.0,0.52,-0.19,0.19,63.5,-9.6,9.6,26.6,-4.0,4.0,35.9,-3.4,4.0,0.34,-0.14,0.24,5.720513515363399e-05,,,59.3,-8.9,9.1
GW190519_153544-v1,GW190519_153544,1,GWTC-2,1242315362.4,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190519_153544/v1,66.0,-12.0,10.7,40.5,-11.1,11.0,12.04985270704691,,,2530.0,-920.0,1830.0,0.31,-0.22,0.2,106.6,-14.8,13.5,44.5,-7.1,6.4,65.1,-10.3,7.7,0.44,-0.14,0.25,1e-05,,,101.0,-13.8,12.4
GW190521-v3,GW190521,3,GWTC-2,1242442967.4,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190521/v3,95.3,-18.9,28.7,69.0,-23.1,22.7,14.376046048896756,,,3920.0,-1950.0,2190.0,0.03,-0.39,0.32,163.9,-23.5,39.2,69.2,-10.6,17.0,114.8,-17.6,15.2,0.64,-0.28,0.28,0.0002039635028,,,156.3,-22.4,36.8
GW190521_074359-v1,GW190521_074359,1,GWTC-2,1242459857.5,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190521_074359/v1,42.2,-4.8,5.9,32.8,-6.4,5.4,24.38410871911596,,,1240.0,-570.0,400.0,0.09,-0.13,0.1,74.7,-4.8,7.0,32.1,-2.5,3.2,39.8,-3.0,2.2,0.24,-0.1,0.07,1e-05,,,71.0,-4.4,6.5
GW190527_092055-v1,GW190527_092055,1,GWTC-2,1242984073.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190527_092055/v1,36.5,-9.0,16.4,22.6,-8.1,10.5,8.867476217742222,,,2490.0,-1240.0,2480.0,0.11,-0.28,0.28,59.1,-9.8,21.3,24.3,-4.2,9.1,34.9,-5.5,21.7,0.44,-0.2,0.34,0.062270351314133505,,,56.4,-9.3,20.2
GW190602_175927-v1,GW190602_175927,1,GWTC-2,1243533585.1,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190602_175927/v1,69.1,-13.0,15.7,47.8,-17.4,14.3,12.13087548611321,,,2690.0,-1120.0,1790.0,0.07,-0.24,0.25,116.3,-15.6,19.0,49.1,-8.5,9.1,72.9,-13.7,10.8,0.47,-0.17,0.25,1.1478437256536947e-05,,,110.9,-14.9,17.7
GW190620_030421-v1,GW190620_030421,1,GWTC-2,1245035079.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190620_030421/v1,57.1,-12.7,16.0,35.5,-12.3,12.2,10.91846314686192,,,2810.0,-1310.0,1680.0,0.33,-0.25,0.22,92.1,-13.1,18.5,38.3,-6.5,8.3,57.5,-11.2,9.0,0.49,-0.2,0.23,0.0029209383726319974,,,87.2,-12.1,16.8
GW190630_185205-v1,GW190630_185205,1,GWTC-2,1245955943.2,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190630_185205/v1,35.1,-5.6,6.9,23.7,-5.1,5.2,15.64051208963232,,,890.0,-370.0,560.0,0.1,-0.13,0.12,59.1,-4.8,4.6,24.9,-2.1,2.1,29.4,-1.5,1.6,0.18,-0.07,0.1,1e-05,,,56.4,-4.6,4.4
GW190701_203306-v1,GW190701_203306,1,GWTC-2,1246048404.6,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190701_203306/v1,53.9,-8.0,11.8,40.8,-12.0,8.7,11.58996006414267,,,2060.0,-730.0,760.0,-0.07,-0.29,0.23,94.3,-9.5,12.1,40.3,-4.9,5.4,55.5,-8.1,7.3,0.37,-0.12,0.11,0.010861368605368522,,,90.2,-8.9,11.3
GW190706_222641-v1,GW190706_222641,1,GWTC-2,1246487219.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190706_222641/v1,67.0,-16.2,14.6,38.2,-13.3,14.6,12.34834506062684,,,4420.0,-1930.0,2590.0,0.28,-0.29,0.26,104.1,-13.9,20.2,42.7,-7.0,10.0,75.1,-17.5,11.0,0.71,-0.27,0.32,1e-05,,,99.0,-13.5,18.3
GW190707_093326-v1,GW190707_093326,1,GWTC-2,1246527224.2,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190707_093326/v1,11.6,-1.7,3.3,8.4,-1.7,1.4,12.97817936002082,,,770.0,-370.0,380.0,-0.05,-0.08,0.1,20.1,-1.3,1.9,8.5,-0.5,0.6,9.89,-0.09,0.1,0.16,-0.07,0.07,1e-05,,,19.2,-1.3,1.9
GW190708_232457-v1,GW190708_232457,1,GWTC-2,1246663515.4,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190708_232457/v1,17.6,-2.3,4.7,13.2,-2.7,2.0,13.07130069939341,,,880.0,-390.0,330.0,0.02,-0.08,0.1,30.9,-1.8,2.5,13.2,-0.6,0.9,15.5,-0.2,0.3,0.18,-0.07,0.06,2.8252506364808675e-05,,,29.5,-1.8,2.5
GW190719_215514-v1,GW190719_215514,1,GWTC-2,1247608532.9,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190719_215514/v1,36.5,-10.3,18.0,20.8,-7.2,9.0,7.993907515410997,,,3940.0,-2000.0,2590.0,0.32,-0.31,0.29,57.8,-10.7,18.3,23.5,-4.0,6.5,38.7,-6.6,9.2,0.64,-0.29,0.33,1.559222128828275,,,54.9,-10.2,17.3
GW190720_000836-v1,GW190720_000836,1,GWTC-2,1247616534.7,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190720_000836/v1,13.4,-3.0,6.7,7.8,-2.2,2.3,11.6960978153441,,,790.0,-320.0,690.0,0.18,-0.12,0.14,21.5,-2.3,4.3,8.9,-0.8,0.5,10.4,-0.1,0.2,0.16,-0.06,0.12,1e-05,,,20.4,-2.2,4.5
GW190725_174728-v1,GW190725_174728,1,GWTC-2.1-confident,1248112066.4,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190725_174728/v1,11.5,-2.7,6.2,6.4,-2.0,2.0,9.074,,,1050.0,-460.0,570.0,-0.04,-0.14,0.26,18.2,-1.8,4.2,7.4,-0.5,0.6,,,,0.21,-0.09,0.1,0.46,,,17.4,-1.8,4.4
GW190727_060333-v1,GW190727_060333,1,GWTC-2,1248242632.0,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190727_060333/v1,38.0,-6.2,9.5,29.4,-8.4,7.1,12.29941092425987,,,3300.0,-1500.0,1540.0,0.11,-0.25,0.26,67.1,-8.0,11.7,28.6,-3.7,5.3,44.7,-5.7,5.3,0.55,-0.22,0.21,1e-05,,,63.8,-7.5,10.9
GW190728_064510-v1,GW190728_064510,1,GWTC-2,1248331528.5,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190728_064510/v1,12.3,-2.2,7.2,8.1,-2.6,1.7,13.64274847591606,,,870.0,-370.0,260.0,0.12,-0.07,0.2,20.6,-1.3,4.5,8.6,-0.3,0.5,10.1,-0.08,0.09,0.18,-0.07,0.05,1e-05,,,19.6,-1.3,4.7
GW190731_140936-v1,GW190731_140936,1,GWTC-2,1248617394.6,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190731_140936/v1,41.5,-9.0,12.2,28.8,-9.5,9.7,8.460146466288636,,,3300.0,-1720.0,2390.0,0.06,-0.24,0.24,70.1,-11.3,15.8,29.5,-5.2,7.1,46.6,-8.2,6.8,0.55,-0.26,0.31,0.20584212311867794,,,67.0,-10.8,14.6
GW190803_022701-v1,GW190803_022701,1,GWTC-2,1248834439.9,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190803_022701/v1,37.3,-7.0,10.6,27.3,-8.2,7.8,8.614396126273874,,,3270.0,-1580.0,1950.0,-0.03,-0.27,0.24,64.5,-9.0,12.6,27.3,-4.1,5.7,42.7,-6.1,6.3,0.55,-0.24,0.26,0.026934317250435554,,,61.7,-8.5,11.8
GW190805_211137-v1,GW190805_211137,1,GWTC-2.1-confident,1249074715.3,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,48.2,-12.5,17.5,32.0,-11.4,13.4,8.2505,,,5310.0,-2950.0,4100.0,0.35,-0.36,0.3,80.1,-16.1,22.5,33.5,-7.0,10.1,,,,0.82,-0.4,0.48,0.63,,,75.8,-15.3,21.2
GW190814-v2,GW190814,2,GWTC-2,1249852257.0,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190814/v2,23.2,-1.0,1.1,2.59,-0.09,0.08,22.17523325999954,,,240.0,-50.0,40.0,0.0,-0.06,0.06,25.8,-0.9,1.0,6.09,-0.06,0.06,6.41,-0.02,0.02,0.05,-0.01,0.009,1e-05,,,25.6,-0.9,1.1
GW190828_063405-v1,GW190828_063405,1,GWTC-2,1251009263.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_063405/v1,32.1,-4.0,5.8,26.2,-4.8,4.6,16.0359229190588,,,2130.0,-930.0,660.0,0.19,-0.16,0.15,58.0,-4.8,7.7,25.0,-2.1,3.4,34.5,-2.8,2.9,0.38,-0.15,0.1,1e-05,,,54.9,-4.3,7.2
GW190828_065509-v1,GW190828_065509,1,GWTC-2,1251010527.9,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_065509/v1,24.1,-7.2,7.0,10.2,-2.1,3.6,11.12790886853085,,,1600.0,-600.0,620.0,0.08,-0.16,0.16,34.4,-4.4,5.4,13.3,-1.0,1.2,17.4,-0.7,0.6,0.3,-0.1,0.1,1e-05,,,33.1,-4.5,5.5
GW190909_114149-v1,GW190909_114149,1,GWTC-2,1252064527.7,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190909_114149/v1,45.8,-13.3,52.7,28.3,-12.7,13.4,9.047895,,,3770.0,-2220.0,3270.0,-0.06,-0.36,0.37,75.0,-17.6,55.9,30.9,-7.5,17.2,49.8,-12.4,32.2,0.62,-0.33,0.41,26.1830194416,,,72.0,-16.8,54.9
GW190910_112807-v1,GW190910_112807,1,GWTC-2,1252150105.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190910_112807/v1,43.9,-6.1,7.6,35.6,-7.2,6.3,13.41737344451953,,,1460.0,-580.0,1030.0,0.02,-0.18,0.18,79.6,-9.1,9.3,34.3,-4.1,4.1,43.9,-3.6,4.6,0.28,-0.1,0.16,1.8852694587530696e-05,,,75.8,-8.6,8.5
GW190915_235702-v1,GW190915_235702,1,GWTC-2,1252627040.7,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190915_235702/v1,35.3,-6.4,9.5,24.4,-6.1,5.6,13.07209167194663,,,1620.0,-610.0,710.0,0.02,-0.25,0.2,59.9,-6.4,7.5,25.3,-2.7,3.2,33.1,-3.9,3.3,0.3,-0.1,0.11,1e-05,,,57.2,-6.0,7.1
GW190916_200658-v1,GW190916_200658,1,GWTC-2.1-confident,1252699636.9,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,44.3,-13.3,21.2,23.9,-10.2,12.7,8.208,,,4460.0,-2520.0,3790.0,0.18,-0.29,0.33,68.9,-14.0,21.0,27.3,-5.5,9.3,,,,0.71,-0.36,0.46,6900.0,,,65.7,-13.4,19.8
GW190917_114630-v1,GW190917_114630,1,GWTC-2.1-confident,1252756008.0,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,9.3,-4.4,3.4,2.1,-0.5,1.5,9.4556,,,720.0,-310.0,340.0,-0.11,-0.49,0.24,11.4,-2.9,3.0,3.7,-0.2,0.2,,,,0.15,-0.06,0.06,0.66,,,11.2,-2.9,3.0
GW190924_021846-v1,GW190924_021846,1,GWTC-2,1253326744.8,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190924_021846/v1,8.9,-2.0,7.0,5.0,-1.9,1.4,13.15903752184739,,,570.0,-220.0,220.0,0.03,-0.09,0.3,13.9,-1.0,5.1,5.8,-0.2,0.2,6.44,-0.03,0.04,0.12,-0.04,0.04,1e-05,,,13.3,-1.0,5.2
GW190925_232845-v1,GW190925_232845,1,GWTC-2.1-confident,1253489343.1,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,21.2,-3.1,6.9,15.6,-3.6,2.6,9.8838,,,930.0,-350.0,380.0,0.11,-0.14,0.17,37.0,-2.6,3.8,15.8,-1.0,1.1,,,,0.19,-0.07,0.07,0.0072,,,35.2,-2.4,3.8
GW190926_050336-v1,GW190926_050336,1,GWTC-2.1-confident,1253509434.0,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,39.8,-11.1,20.6,23.2,-9.7,10.8,9.0049,,,3780.0,-2000.0,3170.0,-0.04,-0.33,0.28,62.9,-11.9,22.7,25.6,-5.3,8.8,,,,0.62,-0.29,0.4,1.1,,,60.5,-11.6,21.8
GW190929_012149-v1,GW190929_012149,1,GWTC-2,1253755327.5,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190929_012149/v1,80.8,-33.2,33.0,24.1,-10.6,19.3,9.875628916044713,,,2130.0,-1050.0,3650.0,0.01,-0.33,0.34,104.3,-25.2,34.9,35.8,-8.2,14.9,52.2,-15.4,19.9,0.38,-0.17,0.49,0.020161443585491597,,,101.5,-25.3,33.6
GW190930_133541-v1,GW190930_133541,1,GWTC-2,1253885759.2,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190930_133541/v1,12.3,-2.3,12.4,7.8,-3.3,1.7,9.837638319153829,,,760.0,-320.0,360.0,0.14,-0.15,0.31,20.3,-1.5,8.9,8.5,-0.5,0.5,9.8,-0.2,0.2,0.15,-0.06,0.06,0.03309219802659227,,,19.4,-1.5,9.2
GW191103_012549-v1,GW191103_012549,1,GWTC-3-confident,1256779567.5,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990.0,-470.0,500.0,0.21,-0.1,0.16,20.0,-1.8,3.7,8.34,-0.57,0.66,,,,0.2,-0.09,0.09,0.46,,,19.0,-1.7,3.8
GW191105_143521-v1,GW191105_143521,1,GWTC-3-confident,1256999739.9,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150.0,-480.0,430.0,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,,,,0.23,-0.09,0.07,0.012,,,17.6,-1.2,2.1
